"monthly_pment","fullname","pay_countpermon","pay_amount"
"2007-02-01 00:00:00","Ana Bradley",4,19.96
"2007-03-01 00:00:00","Ana Bradley",16,71.84
"2007-04-01 00:00:00","Ana Bradley",12,72.88
"2007-05-01 00:00:00","Ana Bradley",1,2.99
"2007-02-01 00:00:00","Clara Shaw",6,22.94
"2007-03-01 00:00:00","Clara Shaw",16,72.84
"2007-04-01 00:00:00","Clara Shaw",18,93.82
"2007-02-01 00:00:00","Curtis Irby",6,22.94
"2007-03-01 00:00:00","Curtis Irby",17,86.83
"2007-04-01 00:00:00","Curtis Irby",14,54.86
